match_id,phase,home,away,result,strat_1x0,strat_2x1,strat_draw/1x0,strat_elo bolão,strat_elo tiered,strat_best expected,strat_rating,strat_lean low,strat_draw hunter,strat_crowd consensus,strat_crowd contrarian,user_14,user_15,user_16,user_17,user_18,user_19,user_20,user_21,user_22,user_24,user_25,user_26,user_27,user_28,user_30,user_31,user_32,user_33,user_34,user_35,user_36,user_37,user_38,user_39,user_40,user_117,user_189,user_190,user_191,user_192,user_193,user_194,user_267,user_269,user_270,user_273,user_1598
537343,Grupo C,Morocco,Haiti,4x2,2,2,2,2,2,2,4,2,2,4,2,4,4,2,4,2,2,4,4,4,4,2,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,2,4,4,2,2,4,4,4,4,2,2
537344,Grupo C,Brazil,Scotland,3x0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,6,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
537345,Grupo D,United States,Paraguay,4x1,2,2,2,2,2,2,0,2,0,2,0,2,0,0,0,0,2,2,0,2,2,0,2,0,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,2,0,2,2,0,0,2
537346,Grupo D,Australia,Turkey,2x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537347,Grupo D,Paraguay,Turkey,1x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,4,4,6,0,0,0
537348,Grupo D,United States,Australia,2x0,2,2,0,0,0,0,0,0,0,2,0,2,0,4,0,6,0,2,0,2,2,2,2,2,4,2,2,6,6,2,2,0,2,6,2,2,2,2,0,6,4,2,0,0,0,2,2,0
537349,Grupo D,United States,Turkey,2x3,4,4,0,0,0,4,4,0,0,0,4,0,0,0,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,4,4,0,4,2,0
537350,Grupo D,Paraguay,Australia,0x0,0,0,3,3,3,0,3,3,3,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0
537351,Grupo E,Germany,Curaçao,7x1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,4,2,2,4,2,2
537352,Grupo E,Ivory Coast,Ecuador,1x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0,4,0,0,0
537353,Grupo E,Germany,Ivory Coast,2x1,4,6,4,6,6,4,2,4,4,6,0,6,6,0,6,2,6,6,4,4,2,2,6,2,2,6,2,6,2,4,0,6,4,2,6,0,2,0,2,2,2,2,2,2,0,2,6,2
537354,Grupo E,Curaçao,Ecuador,0x0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537355,Grupo E,Germany,Ecuador,1x2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
